product_id,category_id,subcategory_id,product_name,description,base_price,sale_price,stock_quantity,weight_kg,is_active,created_at,brand,sku,rating,review_count
38,1,104,"Garcia, Garcia and Perkins Certain","Everybody end pretty your. How anything show throughout.
Size project country capital national. Political music environmental dinner economy family success. Next wish seven.",873.45,848.74,227,4.07,True,2023-01-12,Castillo-Brown,SKU-50001,4.6,909
39,2,202,Williams PLC Crime,Fire must seek fill on everyone successful. Race traditional fund himself ok. Spring successful operation join beautiful understand.,33.43,28.03,336,5.64,False,2023-01-25,"Smith, Howe and Dunn",SKU-46585,3.7,535
40,4,405,Stevenson LLC Describe,Person cause be number others nor. Particularly management ok last meet. Office class often car whether.,337.84,272.14,898,19.41,True,2023-01-31,Miller Inc,SKU-44795,3.1,620
41,4,403,Williams Ltd Somebody,"He soon ten really.
Black change woman senior seek reach. Down word far.
Newspaper idea both open unit improve. Trade owner hair rich. Improve energy matter make service world American oil.",731.26,630.88,620,19.69,True,2023-01-29,"Ford, Russo and Chung",SKU-85574,3.4,59
42,4,401,Hill-Parker Phone,Director hit even response month. Usually bar green gas soldier manage. Team write under add everybody dog. More security stand major live.,524.72,504.42,703,14.42,True,2023-01-22,Reilly-Davis,SKU-35825,3.7,88
43,3,305,Terrell-Morales Evidence,"Hard us central last policy. Choose exactly role trouble. With letter rate drop.
Institution or prove move month. Art police write ask sister speech there.",320.78,311.03,737,18.01,True,2023-01-22,Mcdonald PLC,SKU-63528,3.7,731
44,3,305,"Mills, Choi and Banks Believe","Little purpose say response source. Civil their should next power. Way coach third agency or.
Resource firm concern stuff goal American soon. Black teacher worker available. Reality sign issue tree.",136.01,120.25,962,7.64,True,2023-01-06,Barry-Hughes,SKU-90676,4.1,430
45,5,501,"Hansen, Roberts and Smith Lead",Score door dinner person. Young too traditional able alone. Network class them worker together.,310.84,261.74,804,11.64,True,2023-01-15,"Schneider, White and Dunn",SKU-67905,3.9,229
46,5,504,Ramsey-Black Child,"Relationship against job effort hard myself team just. Weight alone simply off.
Third discussion piece big ask fall. Part between fight risk wait consumer husband.",795.8,789.4,753,3.48,False,2023-01-17,"Stanley, Brown and Adams",SKU-97012,4.3,357
47,1,102,"Wu, Gomez and Johnson Set","Would in spring ever public wrong. American his drop final attack mention lose.
Individual country magazine contain. Phone brother student general effect himself mission.",676.07,571.23,203,3.03,False,2023-01-16,Smith-Bennett,SKU-90120,4.7,93
48,4,404,Duke-Nguyen Themselves,Share allow boy stock growth. Dog above describe policy expert natural occur.,887.28,811.98,735,13.96,True,2023-01-08,"Cox, Bell and Thomas",SKU-29342,4.3,13
49,1,104,"Sullivan, Love and Gentry Building","City study strategy fill. Use size leave door wait eat. Ok plan rather stay lawyer treat other travel.
Feel indeed mention kitchen.",226.65,217.77,712,10.41,False,2023-01-08,"Walter, Kennedy and Griffin",SKU-25906,3.9,834
50,4,405,Williams-Davis High,"Office admit turn across life. Have head others evidence chair body look.
None really wall too drive instead. Interest cut opportunity effect away movie certainly cut.",988.01,908.07,972,15.13,True,2023-01-27,"Wilson, Ruiz and Williams",SKU-76162,3.9,942
51,5,504,Hall Inc Front,Manager husband cell difficult possible. Every upon marriage choice class series lay yes. Model pick raise dog assume site stop.,898.24,852.18,486,9.06,True,2023-01-27,Hughes-Singh,SKU-93579,3.6,809
52,5,504,Barton-Gutierrez Year,"Agency when attention rest. Consumer side people.
Bill face speech thing. Participant receive range east open record.
Quickly school rich choose continue blood baby. New usually those though.",630.48,539.01,79,14.3,True,2023-01-11,"Myers, Kelly and Jackson",SKU-51904,4.8,97
53,2,202,Cox-Lopez Memory,"Billion notice north song cost discussion word shake. Doctor begin hand perform response.
Direction word Republican. Your system difference. Statement yet experience PM seem really final.",238.95,224.32,723,4.36,True,2023-01-11,Lee Group,SKU-81121,3.9,77
54,2,204,Harris-Lynn Hotel,Challenge material stay treat. Sea phone interesting nature land crime wonder. Capital claim attorney impact about expect determine of.,395.58,377.37,968,13.94,True,2023-01-25,Cummings-Hernandez,SKU-85456,3.8,19
55,3,303,"Kent, Collins and Wilson Natural",Without yeah thus either position pattern realize. Indeed push make question field kid. Fine almost morning already television often account.,755.94,733.78,976,16.73,True,2023-01-24,"Lopez, Lane and Johnson",SKU-81582,4.6,937
56,2,204,"Clarke, Roberson and Warner Partner","Crime attorney music crime quality. Amount activity next daughter stock will garden.
Computer plant color along. Evidence quickly do involve catch trip.",227.23,201.59,29,7.84,True,2023-01-26,Nelson and Sons,SKU-62994,4.4,878
57,4,402,Andersen-Warren Some,"Cup focus exactly bank this owner. Girl performance condition open concern.
Save Mrs chance picture energy watch career.
Total share may account. Perform hope cup gun.",980.91,889.52,928,7.94,True,2023-01-01,Collins Ltd,SKU-21003,4.3,156
58,4,402,"Reid, Dodson and Thompson Wife","Contain these especially away affect reach. Reduce place agency land even might.
Organization tell plant cell.",59.78,52.36,216,9.15,True,2023-01-29,"Russo, Martinez and Howard",SKU-59692,3.6,994
59,4,403,Romero LLC Four,"Brother beyond idea good about step. Less top space certainly group image action. Common next others risk actually just.
Serve rise view game appear important sport.",836.56,747.94,767,10.83,True,2023-01-12,"Golden, Wheeler and Smith",SKU-39389,4.3,815
60,1,101,Olson Ltd Whether,"American wind size west charge million language have. Ok stop improve key seek term. Lay beat much oil whose.
Pattern age between. Treatment structure around oil state. Special chair foreign.",950.12,797.98,20,12.46,True,2023-01-16,Gilbert LLC,SKU-97747,3.2,988
61,2,204,Bray-Kim Like,"Then outside environmental practice why. The happy significant policy.
Visit skin say local save history. Those significant true financial ground record would.",702.47,669.72,171,12.16,True,2023-01-23,"Howard, Clay and Miles",SKU-25012,4.6,178
62,3,301,"Ward, Mueller and Mosley Key","Soldier chair wonder card sit say hair. Job each push natural area. Stage newspaper later push whom character.
Citizen others pattern door our end. Situation where and.",582.9,574.61,589,13.58,True,2023-01-13,Hansen LLC,SKU-35995,3.2,727
63,2,201,Freeman Inc People,Age alone onto newspaper sport. Measure there remain member consumer store give. Person type thousand matter great author foreign case.,700.22,602.41,700,12.05,True,2023-01-19,Mcdonald LLC,SKU-15383,3.7,453
64,3,301,Simpson-Price Attorney,Both my career author pick goal wall. Reality serious two rise science. Low case forward occur computer billion every.,510.9,443.59,869,8.46,True,2023-01-14,"Atkins, Wood and Young",SKU-57472,4.3,859
65,4,402,Marshall PLC Beautiful,"Here speak worry low rock recently make especially. Describe strategy listen. Garden lawyer team join strong.
Those left too every past subject. Front father perhaps two these down.",441.13,417.65,988,13.04,True,2023-01-30,Walker Ltd,SKU-80539,4.5,485
66,4,405,Johnson-Moore Plan,Another perform sit share. Matter learn to fall investment wear actually. Everybody study sport factor avoid. Part want decision whose operation doctor.,275.71,267.53,850,18.7,True,2023-01-15,Brady-Bishop,SKU-41963,4.5,600
67,5,504,Stanley and Sons Citizen,"Mean instead director media citizen movie. Quality available upon great best why it. Ask almost read close return.
Public recently out describe marriage police. How or themselves skin.",343.03,308.34,332,3.72,True,2023-01-26,Moore-Johnson,SKU-43862,3.7,914
68,5,503,Caldwell Inc Kitchen,After bank firm sure machine feeling. Despite project gas leave democratic nor at today.,560.23,506.07,195,1.8,True,2023-01-16,Richardson Inc,SKU-82768,4.5,725
69,4,404,Wheeler LLC Money,Series their many bill else. Amount throughout risk put save image. Kitchen wall skill experience.,453.69,364.52,301,4.51,True,2023-01-10,"Munoz, Blackwell and Roberts",SKU-97026,4.2,498
70,5,505,Russell Inc Coach,Cultural other travel challenge unit audience. As night lot parent. Everybody clear say sometimes international under look.,350.32,350.08,563,6.68,True,2023-01-09,"Smith, Morris and Chandler",SKU-50189,3.5,137
71,2,203,"Murphy, Vasquez and Ellison Use","Standard country half group mention pass. Car push buy have camera also.
Before wind book science room. Recently relate actually television.",128.36,116.44,780,13.83,True,2023-01-24,Larsen and Sons,SKU-73464,3.6,621
72,5,505,"Johnson, Alexander and Garcia Own",Local evidence door past. Dark sort next. Their meet entire our box half push.,290.17,237.97,198,6.0,True,2023-01-10,Smith Inc,SKU-11854,4.4,147
73,3,301,"Rodriguez, Medina and Mitchell Often","Push take attorney. Over understand country letter eat daughter seek.
Radio civil score great.
Wide it compare home. Vote black energy. Prove everything believe today coach style sport mother.",974.55,887.5,714,18.89,True,2023-01-25,"Donaldson, Skinner and Wood",SKU-74340,3.2,28
74,5,503,Bates Inc Career,Weight a high best whether reason then. Brother report give statement central. Who consumer blood project manage executive call.,474.7,421.58,188,19.31,True,2023-01-28,Delgado Ltd,SKU-72616,3.2,87
75,4,404,"Jones, Cisneros and Gillespie Federal","Bar until full number note. Start religious hit carry ready understand east.
Measure style forget image almost fact.
Ago cell reality whole design. Movement discussion impact themselves.",83.34,77.16,54,3.12,True,2023-01-31,Palmer Inc,SKU-49824,3.2,271
76,1,105,Haas LLC Together,"Statement like president parent. Station certain for from indicate themselves.
Really crime watch hotel involve keep. Environment nearly out sense believe property TV.",766.8,706.42,809,12.41,True,2023-01-13,Mitchell Group,SKU-69049,4.8,315
77,5,504,Armstrong-Sosa Knowledge,Must we sell after pressure card. Million who professional store tree above story among.,312.33,288.65,624,19.21,False,2023-01-25,"Young, Davis and Montoya",SKU-37235,4.3,291
78,1,102,"Tucker, Spence and Bates Item",Former call every trouble soon. Trip computer senior guess floor. Wall fly claim better or evening.,247.47,225.29,160,0.15,True,2023-01-20,Johnson and Sons,SKU-71592,3.6,250
79,3,303,Morales-Booker Sign,"Pattern top political million article ago we. Some give hair system.
Physical force enter economy official since. Trouble hold reduce civil environment.",705.96,628.87,703,4.75,True,2023-01-26,"Morales, Mullins and Hopkins",SKU-91927,4.2,844
80,2,204,Jefferson Group Factor,"Then several everything appear board. Window purpose from. Believe dog suggest score.
Reduce maybe wish side physical reach first. Again certainly live may. Total price that thing thank.",123.63,104.46,152,18.18,True,2023-01-03,"Gordon, Gibbs and Garcia",SKU-17816,3.3,329
81,5,505,Johnson-Cohen Occur,"Best imagine within today water. Choose figure its everything couple.
Detail recognize this cup. May create new blue ask. Though market field agent onto professional minute.",921.98,818.56,479,13.8,True,2023-01-31,Sandoval and Sons,SKU-45683,4.0,523
82,4,401,Smith-Stuart When,"Treatment beautiful down hundred name TV executive. Wide nearly save participant speech physical.
Opportunity price system treat.
Voice identify professional current.",602.06,588.74,752,6.51,True,2023-01-03,"Payne, Hill and Gonzalez",SKU-40005,4.9,875
83,5,505,"Spencer, Pruitt and Burton Main","Law series add you improve political forward.
Product notice education deal nor final. Drop provide experience red music hand. Food treatment democratic purpose open experience.",951.28,951.2,688,16.45,True,2023-01-25,"Nguyen, Lopez and Perry",SKU-32962,3.9,689
84,4,403,Morris Ltd Human,Source rise difference drop. Detail why make audience have hand pressure pull. Often class traditional care dog performance local. Behind person study success they pick sound peace.,189.67,173.94,650,16.3,True,2023-01-16,Schaefer-Johnson,SKU-55607,3.8,341
85,1,102,Ellis-Hess Meeting,Against almost campaign who reflect believe enough. Down attorney too yet approach politics tell. Kid so talk painting.,336.51,315.89,295,13.29,True,2023-01-25,Rice-Williams,SKU-82102,3.1,103
86,3,303,"Rios, Baxter and Thompson Name","Car store start past him discussion southern. Total society skin it.
Worry again series inside. History maintain everything weight medical.",330.04,328.07,413,17.31,True,2023-01-01,Green Ltd,SKU-96200,4.7,481
87,4,401,"Rose, Miller and Martinez Take","Person view then case data no financial near. Simply market alone I turn local. Price outside daughter upon happy bed board.
Short three apply. Evening cell week blue amount.",195.71,170.73,774,10.02,True,2023-01-02,"George, Manning and Haynes",SKU-36680,3.5,152
88,3,304,Smith Group Both,"Six hand shoulder know. Different admit source include.
Character help off final office support. Five really authority need quality mind.
Pm alone garden language.",882.04,791.14,29,19.47,True,2023-01-08,Newman-Robertson,SKU-30758,3.6,32
89,5,504,Johnson and Sons World,"Operation weight he cause throughout. Almost building edge paper evidence but road.
Happen deep produce return data instead good PM. Model poor say analysis brother life life.",102.28,102.12,934,2.36,True,2023-01-21,Robertson-Charles,SKU-30181,4.0,753
90,3,305,Barnett-Luna Local,"Help organization issue matter serve plan. Speech ball able crime oil. Write price international model.
Street matter consumer. Small soldier poor shoulder forward bit.",708.36,625.55,494,19.61,True,2023-01-18,Manning-Williams,SKU-28958,3.8,964
91,5,505,Oconnell LLC Thus,Wide trip sell past arm continue. Movement poor large accept tonight attack note. Manager continue decision red add.,748.83,619.51,71,5.6,True,2023-01-14,"Burke, Cox and Carrillo",SKU-54548,4.9,536
92,3,301,"Williams, Love and Bryant Fish","Him soldier yes thought spend event list than. Reflect manager player scene.
Should share important any. Similar include around brother create indicate. Relationship energy seek on film down subject.",290.01,249.33,601,11.64,True,2023-01-28,Cruz-Smith,SKU-29476,3.9,504
93,3,303,Johnson-Lewis Success,"Project PM subject suffer they ever. Economy class wonder analysis report memory store.
Green though national large policy movie.",556.4,505.59,466,18.66,True,2023-01-23,"Schneider, Patel and Howell",SKU-41300,4.1,267
94,4,401,Hendricks LLC Blood,Management window surface material increase through no. Energy economy appear follow fish once. Ahead power social oil worry rich trade.,324.99,290.74,935,16.25,True,2023-01-22,Woods Inc,SKU-95461,5.0,519
95,1,102,Scott-Rivera Tree,"Well girl notice specific. Both power office. Plant show response.
Decide carry both different ahead respond want. Risk trip now significant stay.
Team garden trouble you third plan shake.",507.27,465.69,890,2.1,True,2023-01-04,Atkins Ltd,SKU-78937,4.8,33
96,2,204,Barton Inc Line,"Stuff would spend instead. Hospital pass seek garden despite.
Share voice relate this take community. Crime what level myself enough education same.",872.22,866.98,76,9.44,True,2023-01-11,"Larson, White and Bryant",SKU-91691,4.4,680
97,1,103,Moses Inc Believe,Pick star song lose at conference look decision. Speak think measure white.,853.82,829.8,389,19.09,True,2023-01-29,"Williams, Cooper and Ross",SKU-73956,4.7,52
98,5,501,"Conway, Lopez and Bullock Learn","Bad million go citizen career research. Who mean process any it second buy. Mother decide daughter no try.
Get business later food talk her. Mr child national move stop and often friend.",242.42,227.12,294,19.95,True,2023-01-14,"Powell, Rivas and Gibson",SKU-22903,4.5,737
99,1,104,Goodwin Inc Dog,Toward chair significant institution school anyone. State building may friend knowledge.,174.7,150.22,29,1.02,True,2023-01-10,Peterson-Barrera,SKU-56984,3.7,169
100,2,205,Long Group Message,Some national suggest song brother. Analysis method recognize message friend heart real. Fire interest evening activity.,417.93,391.33,184,3.48,False,2023-01-28,Kelley-Olsen,SKU-60140,4.2,254
101,4,405,"Nguyen, Schneider and Perez Could","Between recent change mind before job. Stop entire other after. Area similar trial.
Try debate really accept film executive. Several development success physical international several.",151.69,135.34,260,9.25,True,2023-01-29,Flynn-Adams,SKU-70981,4.8,706
102,5,502,Ruiz LLC Never,"Mouth according minute coach. Follow leg long suffer position.
Race hundred music example age state staff ten. Dinner property three moment.",83.12,82.21,601,6.05,True,2023-01-23,Roberts LLC,SKU-42780,3.9,318
103,2,204,"Brown, Smith and Savage Public",Hear room within official none either. Difference or change woman stop. Foot knowledge us tough.,854.8,702.08,390,11.48,True,2023-01-23,Rojas-Harvey,SKU-48696,3.0,871
104,4,403,Massey-Lyons Store,"Condition ahead risk again. Bar husband education mention budget large region cut.
Threat pay through yourself hold ask. From fast alone carry shoulder. Million parent physical degree front son.",18.02,17.53,796,14.92,False,2023-01-20,Schmidt LLC,SKU-75107,4.7,938
105,3,302,Wolfe and Sons Know,"Apply attorney senior story. Himself dog suddenly back room.
Money mouth particular fact now yes guy moment. Product that turn herself these. Result why project.",610.99,531.85,651,3.88,True,2023-01-25,Lewis-Burke,SKU-96400,4.4,155
106,1,101,Collins Group Center,Minute claim production technology difference peace cut include. Field trade long fast center beautiful sense.,315.84,280.52,593,7.36,True,2023-01-30,Donovan Inc,SKU-48680,3.7,455
107,2,202,"Moreno, Rice and Hoffman Available","Be care evening because foreign system can. Military idea gas color. Probably production often arm once keep always.
Contain such operation live fast small hit. Camera small bank during.",140.84,127.86,994,7.38,True,2023-01-09,Sims LLC,SKU-31567,3.5,860
108,4,403,"Pierce, Berry and Blake Ask",Top offer specific all traditional measure bill small. Adult degree argue nor. Hope degree task your part environment.,749.09,650.02,117,9.42,False,2023-01-25,Robinson LLC,SKU-39571,4.7,759
109,4,405,"Edwards, Sanders and Holt Story","Before onto charge purpose mention war rate. Year and especially customer land consumer.
Ground program air executive listen. Various administration behind.",372.12,356.54,14,5.36,True,2023-01-12,Rogers-Cantu,SKU-98188,4.5,279
110,5,504,Wallace-Ballard Pretty,"Well black table identify experience. Amount significant hope child hotel couple model.
Gun cause rich season energy. Over much street ever.",824.19,814.35,110,13.53,True,2023-01-20,"Rodriguez, Lawson and Guerrero",SKU-83584,3.7,637
111,2,201,Roman LLC Ten,"My minute big. Someone reality attorney moment commercial word religious.
Likely budget senior low vote rate. Choose result film. Eight live least meet government.",639.05,570.58,717,6.11,True,2023-01-05,Miller-Lam,SKU-15943,4.9,335
112,4,401,Marks and Sons True,"Work make something TV best within. Open hair describe than enough share.
Power question baby animal someone sit. Food line professor law poor truth age. Prove evening American coach fund.",106.22,103.83,138,7.83,True,2023-01-31,Williams-King,SKU-80804,3.8,781
113,2,204,Snyder-Hardin Approach,Green federal notice free song son that thousand. Since minute off thought.,658.37,636.47,630,8.22,True,2023-01-02,Smith-Gardner,SKU-58566,3.4,471
114,2,203,"Sutton, Thomas and Lam Yourself",Simple sell push wind tough after sport fear. Still without wall four financial.,108.36,101.55,557,18.04,True,2023-01-02,"Harvey, Richardson and Miller",SKU-62184,3.6,1005
115,1,104,"Smith, Chavez and Cohen Design",Easy even guess. Coach Republican policy light. Lay word someone election sit play world.,100.76,84.88,654,11.98,False,2023-01-26,"Eaton, Mitchell and Adams",SKU-53713,3.5,151
116,5,502,Burns Ltd Record,"Case base whatever will lead mention. Voice cold seem.
Window TV million effect real. Military sea yet herself.",77.92,74.26,212,11.77,True,2023-01-08,"Mason, Thompson and Hayes",SKU-53064,4.5,822
117,5,501,Vasquez-Howard True,"Cause show brother stop sport. Population tonight voice will there it.
Return glass Mrs resource yourself production state. Party ability respond still. Father agency get middle fast never local war.",284.5,283.59,133,10.85,True,2023-01-04,Barnes PLC,SKU-96646,4.7,148
118,1,103,"Owens, Perry and Good Of","Difficult describe brother suffer.
Century plant yes consider. Anything deep could continue peace.
There present economy herself style. News according government interview computer.",792.08,671.36,331,0.41,True,2023-01-05,Knox-Lloyd,SKU-65176,4.1,779
119,1,104,"Rosales, Wade and West Surface",Team represent and song apply or. Difficult bring sit. Reach economy goal charge over capital.,453.79,395.89,607,2.27,True,2023-01-31,Small-Young,SKU-90623,3.1,816
120,5,503,Daniels-Scott Whatever,Bit side sometimes American kid use travel medical. Truth officer food ten open provide seat.,463.46,460.13,62,19.97,True,2023-01-14,"Lindsey, Collins and Phelps",SKU-99928,3.2,743
121,4,401,Obrien-Moran Land,"Others seem main buy with. Study road activity the.
Nice rich drop college charge oil building. Nation total bad woman keep send.",900.27,778.22,151,1.41,True,2023-01-21,"Murphy, Atkinson and Turner",SKU-86724,4.1,350
122,4,405,Hansen Inc Good,"Rich news born buy. Budget family however choice.
Heart beautiful billion window let likely meet. Book hit avoid animal inside whom can. Effect anything husband respond nor.",535.25,476.77,619,8.66,True,2023-01-04,Church-Martin,SKU-95814,4.3,798
123,5,502,Grant Group Near,"Really audience brother individual. Thus long draw finish as into.
Probably water various response why get. Property thousand head again.",435.77,426.02,423,6.84,True,2023-01-14,"Hall, Larson and Perry",SKU-22463,3.6,344
124,3,303,Mclean and Sons My,"Morning bar down test gun.
Per night boy anyone.
Heavy magazine surface ten. Course former what live find.",954.06,894.3,485,1.44,True,2023-01-03,Perkins-Gardner,SKU-66606,3.2,768
